k,il,il_hat,vc,vc_hat,vR2,vR2_hat,iR2,iR2_hat
116,-8.087344,-8.078125,16.154461,16.159180,-18.182494,-18.185174,-0.017058,-0.018179
117,-8.440154,-8.430664,16.859098,16.865234,-18.977168,-18.979646,-0.017420,-0.018973
118,-8.760042,-8.750000,17.497978,17.502930,-19.696382,-19.697431,-0.021710,-0.019690
119,-9.044866,-9.033203,18.066817,18.070312,-20.335577,-20.335841,-0.019187,-0.020329
120,-9.294389,-9.282227,18.565145,18.566406,-20.895547,-20.894389,-0.023159,-0.020887
121,-9.506443,-9.493164,18.988627,18.989258,-21.373741,-21.370144,-0.022912,-0.021363
122,-9.681384,-9.666016,19.337981,19.334961,-21.766260,-21.759199,-0.023821,-0.021751
123,-9.819012,-9.801758,19.612804,19.604492,-22.074963,-22.062773,-0.023152,-0.022055
124,-9.917852,-9.899414,19.810151,19.798828,-22.297881,-22.281601,-0.022221,-0.022274
125,-9.977400,-9.955078,19.929014,19.911133,-22.431137,-22.407867,-0.021352,-0.022400
126,-9.996219,-9.970703,19.966522,19.940430,-22.473828,-22.441082,-0.022866,-0.022433
127,-9.976956,-9.948242,19.927970,19.893555,-22.430297,-22.388573,-0.024069,-0.022381
128,-9.917896,-9.886719,19.809925,19.770508,-22.297907,-22.250096,-0.023227,-0.022242
129,-9.819225,-9.787109,19.612760,19.573242,-22.075439,-22.027849,-0.023698,-0.022020
130,-9.682160,-9.650391,19.338908,19.302734,-21.767884,-21.723053,-0.023803,-0.021715
131,-9.506475,-9.477539,18.987918,18.957031,-21.371113,-21.333999,-0.020826,-0.021326
132,-9.294847,-9.270508,18.565140,18.543945,-20.895454,-20.868990,-0.020117,-0.020862
133,-9.045937,-9.025391,18.067891,18.055664,-20.336146,-20.319233,-0.019973,-0.020312
134,-8.759995,-8.743164,17.496676,17.490234,-19.695122,-19.683021,-0.018703,-0.019676
135,-8.441103,-8.425781,16.859653,16.857422,-18.975830,-18.970610,-0.019625,-0.018964
136,-8.087860,-8.074219,16.154016,16.153320,-18.181498,-18.178336,-0.019046,-0.018172
137,-7.702660,-7.691406,15.384552,15.387695,-17.316753,-17.316701,-0.018306,-0.017311
138,-7.288404,-7.278320,14.557059,14.560547,-16.385465,-16.385951,-0.017661,-0.016380
139,-6.843211,-6.833984,13.667766,13.671875,-15.384715,-15.385839,-0.015511,-0.015380
140,-6.371949,-6.363281,12.726414,12.730469,-14.323752,-14.326381,-0.014110,-0.014321
141,-5.876372,-5.869141,11.736497,11.740234,-13.210821,-13.212215,-0.012819,-0.013208
142,-5.356229,-5.349609,10.697514,10.702148,-12.041702,-12.043831,-0.012895,-0.012040
143,-4.816319,-4.810547,9.619055,9.625000,-10.829477,-10.831486,-0.010734,-0.010828
144,-4.257470,-4.250977,8.502771,8.504883,-9.569305,-9.571029,-0.011605,-0.009568
145,-3.681603,-3.676758,7.352499,7.355469,-8.275841,-8.277600,-0.008831,-0.008275
146,-3.090191,-3.085938,6.171178,6.172852,-6.945699,-6.946805,-0.007754,-0.006944
147,-2.486493,-2.483398,4.965325,4.965820,-5.588530,-5.588656,-0.005619,-0.005587
148,-1.873691,-1.871094,3.741295,3.741211,-4.210778,-4.210481,-0.004819,-0.004209
149,-1.253499,-1.250977,2.502505,2.501953,-2.815654,-2.815698,-0.002635,-0.002815
150,-0.629287,-0.627930,1.255696,1.254883,-1.414033,-1.412367,-0.003408,-0.001412
151,-0.000875,0.000000,0.000494,0.000000,-0.000762,0.000000,-0.000437,0.000000
152,0.626246,0.625977,-1.252116,-1.252930,1.409441,1.409925,0.000926,0.001409
153,1.251258,1.249023,-2.500514,-2.500977,2.813448,2.814233,0.004433,0.002813
154,1.870683,1.868164,-3.737744,-3.740234,4.206125,4.208771,0.002690,0.004207
155,2.484225,2.481445,-4.963225,-4.967773,5.587475,5.590121,0.004400,0.005588
156,3.087679,3.084961,-6.168546,-6.172852,6.943767,6.946561,0.007254,0.006944
157,3.678446,3.674805,-7.348520,-7.352539,8.270806,8.274181,0.009978,0.008271
158,4.255234,4.250977,-8.500571,-8.505859,9.568390,9.572005,0.009206,0.009569
159,4.814451,4.808594,-9.617517,-9.622070,10.824124,10.828067,0.011612,0.010824
160,5.355371,5.348633,-10.697916,-10.704102,12.041102,12.045541,0.011881,0.012041
161,5.874780,5.867188,-11.735343,-11.740234,13.207729,13.211727,0.015721,0.013207
162,6.372223,6.365234,-12.728895,-12.736328,14.327736,14.332731,0.014807,0.014328
163,6.842203,6.833008,-13.667579,-13.672852,15.382380,15.386572,0.016818,0.015381
164,7.286253,7.277344,-14.554474,-14.562500,16.382851,16.387660,0.017414,0.016382
165,7.702472,7.692383,-15.385776,-15.391602,17.317527,17.320853,0.017314,0.017315
166,8.087288,8.077148,-16.154347,-16.162109,18.184071,18.187861,0.016185,0.018181
167,8.440897,8.429688,-16.860583,-16.867188,18.977658,18.981355,0.020737,0.018975
168,8.759888,8.747070,-17.497669,-17.502930,19.695236,19.696698,0.019605,0.019690
169,9.045168,9.033203,-18.067422,-18.072266,20.337573,20.337795,0.019506,0.020331
170,9.293360,9.279297,-18.563086,-18.564453,20.893761,20.891703,0.022117,0.020884
171,9.505997,9.490234,-18.987738,-18.987305,21.371951,21.367458,0.021136,0.021360
172,9.680658,9.663086,-19.336529,-19.333008,21.763341,21.756512,0.021213,0.021749
173,9.818993,9.799805,-19.612769,-19.605469,22.074340,22.063262,0.023132,0.022055
174,9.917833,9.896484,-19.810114,-19.796875,22.297568,22.278914,0.021429,0.022271
175,9.976609,9.952148,-19.927433,-19.907227,22.430358,22.403226,0.023890,0.022395
176,9.996141,9.967773,-19.966368,-19.938477,22.473279,22.438395,0.022223,0.022430
177,9.977054,9.945312,-19.928167,-19.892578,22.429402,22.386863,0.024010,0.022379
178,9.918415,9.883789,-19.810962,-19.769531,22.297366,22.248386,0.021022,0.022240
179,9.819633,9.784180,-19.613575,-19.571289,22.075488,22.025162,0.022929,0.022017
180,9.682811,9.648438,-19.340210,-19.301758,21.769203,21.721587,0.020439,0.021714
181,9.507524,9.476562,-18.990013,-18.958008,21.374229,21.334731,0.023177,0.021327
182,9.294636,9.267578,-18.564715,-18.541992,20.894222,20.866303,0.021921,0.020859
183,9.045205,9.022461,-18.066428,-18.053711,20.335200,20.316547,0.020271,0.020309
184,8.760523,8.741211,-17.497734,-17.490234,19.694783,19.682532,0.019002,0.019676
185,8.439999,8.422852,-16.857446,-16.855469,18.974340,18.967923,0.019715,0.018961
186,8.087178,8.072266,-16.152655,-16.153320,18.180531,18.177847,0.019165,0.018171
187,7.702776,7.690430,-15.384787,-15.388672,17.317634,17.317434,0.017028,0.017311
188,7.287612,7.276367,-14.555474,-14.560547,16.383186,16.385462,0.015992,0.016380
189,6.843161,6.832031,-13.667667,-13.672852,15.384154,15.386328,0.016736,0.015381
190,6.372211,6.362305,-12.726938,-12.731445,14.323598,14.327113,0.013957,0.014322
191,5.875818,5.867188,-11.735390,-11.742188,13.210467,13.213680,0.013384,0.013209
192,5.356699,5.348633,-10.698455,-10.704102,12.042630,12.045541,0.012638,0.012041
193,4.816425,4.809570,-9.619266,-9.626953,10.829251,10.833196,0.010473,0.010829
194,4.257050,4.250977,-8.501931,-8.507812,9.570673,9.573959,0.009581,0.009571
195,3.680898,3.673828,-7.351090,-7.354492,8.272819,8.275890,0.007581,0.008273
196,3.090467,3.084961,-6.171732,-6.176758,6.947957,6.950468,0.006258,0.006948
197,2.486832,2.482422,-4.966003,-4.968750,5.589229,5.591343,0.005234,0.005589
198,1.873443,1.870117,-3.740798,-3.743164,4.211012,4.212190,0.005251,0.004211
199,1.253859,1.250977,-2.503227,-2.504883,2.817047,2.818629,0.003981,0.002818
200,0.628308,0.625977,-1.253737,-1.255859,1.412565,1.412855,0.000111,0.001412
201,0.000760,0.000000,-0.000266,-0.002930,0.002124,0.002931,-0.000681,0.000003
202,-0.625876,-0.625977,1.251378,1.249023,-1.407039,-1.406017,-0.000630,-0.001406
203,-1.252278,-1.251953,2.502554,2.501953,-2.816753,-2.815942,-0.004165,-0.002815
204,-1.872853,-1.872070,3.742081,3.741211,-4.210745,-4.210725,-0.003457,-0.004209
205,-2.485985,-2.484375,4.966738,4.967773,-5.590707,-5.590854,-0.004891,-0.005589
206,-3.088467,-3.086914,6.170117,6.172852,-6.946746,-6.947049,-0.007790,-0.006945
207,-3.678911,-3.675781,7.349449,7.352539,-8.273052,-8.274425,-0.009412,-0.008271
208,-4.254296,-4.250977,8.498694,8.500977,-9.565142,-9.567121,-0.010070,-0.009564
209,-4.814874,-4.810547,9.618365,9.622070,-10.825901,-10.828556,-0.011104,-0.010825
210,-5.356008,-5.350586,10.699190,10.702148,-12.041191,-12.044076,-0.011773,-0.012040
211,-5.875232,-5.869141,11.736246,11.740234,-13.209811,-13.212215,-0.011433,-0.013208
212,-6.371644,-6.364258,12.727734,12.732422,-14.326047,-14.328579,-0.014366,-0.014323
213,-6.842709,-6.835938,13.668591,13.674805,-15.386468,-15.389259,-0.013903,-0.015384
214,-7.286145,-7.278320,14.554257,14.558594,-16.381322,-16.383997,-0.015333,-0.016378
215,-7.701294,-7.692383,15.383421,15.387695,-17.313399,-17.316946,-0.016958,-0.017311
216,-8.086445,-8.078125,16.152663,16.159180,-18.183140,-18.185174,-0.018105,-0.018179
217,-8.438373,-8.428711,16.855539,16.860352,-18.971702,-18.974273,-0.017066,-0.018968
218,-8.759158,-8.749023,17.496215,17.500000,-19.692998,-19.694256,-0.019162,-0.019687
219,-9.044139,-9.033203,18.065365,18.069336,-20.334845,-20.334864,-0.020720,-0.020328
220,-9.293330,-9.281250,18.563029,18.565430,-20.893661,-20.893168,-0.019990,-0.020886
221,-9.505648,-9.492188,18.987040,18.987305,-21.371294,-21.367946,-0.022357,-0.021360
222,-9.681077,-9.666992,19.337368,19.334961,-21.765980,-21.759443,-0.021072,-0.021752
223,-9.819661,-9.801758,19.614104,19.606445,-22.075152,-22.064727,-0.022510,-0.022057
224,-9.918066,-9.899414,19.810578,19.797852,-22.297669,-22.280624,-0.020907,-0.022273
225,-9.976875,-9.954102,19.927964,19.909180,-22.430092,-22.405669,-0.022609,-0.022398
226,-9.996153,-9.970703,19.966391,19.939453,-22.473943,-22.440105,-0.020938,-0.022432
227,-9.977328,-9.947266,19.928715,19.894531,-22.432698,-22.389305,-0.022212,-0.022381
228,-9.918078,-9.885742,19.810288,19.769531,-22.297454,-22.248875,-0.024725,-0.022241
229,-9.819778,-9.787109,19.613864,19.573242,-22.076628,-22.027849,-0.023765,-0.022020
230,-9.683721,-9.652344,19.342028,19.304688,-21.770443,-21.725495,-0.021699,-0.021718
231,-9.508257,-9.480469,18.991477,18.961914,-21.376482,-21.339616,-0.021813,-0.021332
232,-9.294813,-9.270508,18.565068,18.544922,-20.897324,-20.869966,-0.019421,-0.020863
233,-9.045971,-9.025391,18.067959,18.054688,-20.338005,-20.318257,-0.020853,-0.020311
234,-8.759890,-8.742188,17.496465,17.490234,-19.693729,-19.682777,-0.019407,-0.019676
235,-8.440641,-8.425781,16.858730,16.856445,-18.974993,-18.969633,-0.018401,-0.018963
